seed,generation,graph_size,max_size,environment,solver,run_id
9,299,90.0,137.0,ant,cgp,p6t5mjjp
9,899,92.0,137.0,ant,cgp,p6t5mjjp
9,499,90.0,137.0,ant,cgp,p6t5mjjp
9,999,91.0,137.0,ant,cgp,p6t5mjjp
9,699,91.0,137.0,ant,cgp,p6t5mjjp
0,599,89.0,137.0,ant,cgp,ke1zy2b0
0,99,90.0,137.0,ant,cgp,ke1zy2b0
0,199,89.0,137.0,ant,cgp,ke1zy2b0
0,799,89.0,137.0,ant,cgp,ke1zy2b0
0,399,89.0,137.0,ant,cgp,ke1zy2b0
0,299,91.0,137.0,ant,cgp,ke1zy2b0
0,899,89.0,137.0,ant,cgp,ke1zy2b0
0,499,89.0,137.0,ant,cgp,ke1zy2b0
0,999,89.0,137.0,ant,cgp,ke1zy2b0
0,699,89.0,137.0,ant,cgp,ke1zy2b0
