,iteration,front_size,reward,simplicity
687,272,3,368.4833,1.0
688,272,3,1200.1521,0.73333335
689,272,3,1004.2785,0.93333334
690,273,3,368.4833,1.0
691,273,3,1200.1521,0.73333335
692,273,3,1004.2785,0.93333334
693,274,3,368.4833,1.0
694,274,3,1200.1521,0.73333335
695,274,3,1105.0135,0.93333334
696,275,3,368.4833,1.0
697,275,3,1200.1521,0.73333335
698,275,3,1105.0135,0.93333334
699,276,3,368.4833,1.0
700,276,3,1200.1521,0.73333335
701,276,3,1105.0135,0.93333334
702,277,3,368.4833,1.0
703,277,3,1200.1521,0.73333335
704,277,3,1105.0135,0.93333334
705,278,3,368.4833,1.0
706,278,3,1200.1521,0.73333335
707,278,3,1105.0135,0.93333334
708,279,3,368.4833,1.0
709,279,3,1200.1521,0.73333335
710,279,3,1105.0135,0.93333334
711,280,3,368.4833,1.0
712,280,3,1200.1521,0.73333335
713,280,3,1105.0135,0.93333334
714,281,3,368.4833,1.0
715,281,3,1200.1521,0.73333335
716,281,3,1105.0135,0.93333334
717,282,3,368.4833,1.0
718,282,3,1200.1521,0.73333335
719,282,3,1105.0135,0.93333334
720,283,3,368.4833,1.0
721,283,3,1200.1521,0.73333335
722,283,3,1105.0135,0.93333334
723,284,3,368.4833,1.0
724,284,3,1200.1521,0.73333335
725,284,3,1105.0135,0.93333334
726,285,3,368.4833,1.0
727,285,3,1200.1521,0.73333335
728,285,3,1105.0135,0.93333334
729,286,3,368.4833,1.0
730,286,3,1200.1521,0.73333335
731,286,3,1105.0135,0.93333334
732,287,3,368.4833,1.0
733,287,3,1200.1521,0.73333335
734,287,3,1105.0135,0.93333334
735,288,3,368.4833,1.0
736,288,3,1200.1521,0.73333335
737,288,3,1115.1646,0.93333334
738,289,3,368.4833,1.0
739,289,3,1200.1521,0.73333335
740,289,3,1115.1646,0.93333334
741,290,3,368.4833,1.0
742,290,3,1200.1521,0.73333335
743,290,3,1115.1646,0.93333334
744,291,3,368.4833,1.0
745,291,3,1200.1521,0.73333335
746,291,3,1115.1646,0.93333334
747,292,3,368.4833,1.0
748,292,3,1200.1521,0.73333335
749,292,3,1115.1646,0.93333334
750,293,3,368.4833,1.0
751,293,3,1200.1521,0.73333335
752,293,3,1115.1646,0.93333334
