,training.top_k_forward_reward.top_1_forward_reward,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_step,_runtime,training.run_id,training.top_k_fit.top_2_fit,training.evaluation_time,training.top_k_healthy_reward.top_0_healthy_reward,training.fitness_std,training.top_k_fit.top_1_fit,training.top_k_reward.top_2_reward,training.fitness_mean,training.top_k_forward_reward.top_2_forward_reward,training.fitness_1q,training.top_k_reward.top_0_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.generation,training.fitness_median,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.fitness_3q,training.top_k_fit.top_0_fit,_timestamp,training.top_k_ctrl_reward.top_1_ctrl_reward,solver,ea,fitness,environment,seed,training.evaluation
69,0,999.0,0,69,105.364004611969,104,999,1.338644027709961,0,375.2947082519531,999,999.0,206.9199981689453,0,66.25,999,0,69,30.0,0,0,0,7.0,999,1693558605.1837826,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6900
70,0,999.0,0,70,106.73299765586853,104,999,1.2902536392211914,0,330.35845947265625,999,999.0,160.45999145507812,0,51.0,999,0,70,31.0,0,0,0,6.0,999,1693558606.5527756,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7000
71,0,999.0,0,71,108.08113598823547,104,999,1.2854760885238647,0,330.4408874511719,999,999.0,161.62998962402344,0,60.5,999,0,71,30.0,0,0,0,6.0,999,1693558607.900914,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7100
72,0,999.0,0,72,109.39686036109924,104,999,1.271471619606018,0,342.4554138183594,999,999.0,176.52999877929688,0,53.5,999,0,72,31.5,0,0,0,7.0,999,1693558609.2166383,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7200
73,0,999.0,0,73,110.76956415176392,104,999,1.2672414779663086,0,351.07061767578125,999,999.0,179.05999755859375,0,52.0,999,0,73,30.0,0,0,0,7.0,999,1693558610.589342,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7300
74,0,999.0,0,74,112.07668471336365,104,999,1.2626858949661255,0,323.7241516113281,999,999.0,153.0800018310547,0,38.25,999,0,74,29.0,0,0,0,7.0,999,1693558611.8964627,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7400
75,0,999.0,0,75,113.40171074867249,104,999,1.267210602760315,0,399.5516662597656,999,999.0,234.36000061035156,0,68.0,999,0,75,27.5,0,0,0,6.0,999,1693558613.2214887,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7500
76,0,999.0,0,76,114.71673893928528,104,999,1.2732690572738647,0,383.6521301269531,999,999.0,224.12998962402344,0,100.5,999,0,76,29.0,0,0,0,6.0,999,1693558614.536517,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7600
77,0,999.0,0,77,116.07411050796509,104,999,1.2947324514389038,0,367.0926208496094,999,999.0,202.4499969482422,0,90.75,999,0,77,28.5,0,0,0,6.0,999,1693558615.8938885,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7700
78,0,999.0,0,78,117.49240469932556,104,999,1.276807188987732,0,323.9774475097656,999,999.0,156.94000244140625,0,40.75,999,0,78,27.5,0,0,0,6.0,999,1693558617.3121827,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7800
79,0,999.0,0,79,118.90760803222656,104,999,1.2624084949493408,0,339.28021240234375,999,999.0,170.4199981689453,0,43.5,999,0,79,30.0,0,0,0,6.0,999,1693558618.727386,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,7900
80,0,999.0,0,80,120.63883662223816,104,999,1.6883041858673096,0,364.56549072265625,999,999.0,197.61000061035156,0,68.0,999,0,80,30.5,0,0,0,6.0,999,1693558620.4586146,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,8000
81,0,999.0,0,81,121.94652223587036,104,999,1.2650845050811768,0,345.72955322265625,999,999.0,182.09999084472656,0,66.0,999,0,81,31.0,0,0,0,7.0,999,1693558621.7663002,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,8100
82,0,999.0,0,82,123.26381969451904,104,999,1.27471923828125,0,372.9698486328125,999,999.0,208.4499969482422,0,81.0,999,0,82,31.0,0,0,0,6.0,999,1693558623.0835977,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,8200
83,0,999.0,0,83,124.57731342315674,104,999,1.2749414443969727,0,351.39788818359375,999,999.0,190.00999450683594,0,62.5,999,0,83,30.0,0,0,0,6.75,999,1693558624.3970914,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,8300
84,0,999.0,0,84,125.98939347267151,104,999,1.2683807611465454,0,355.6025085449219,999,999.0,192.51998901367188,0,87.5,999,0,84,29.5,0,0,0,6.0,999,1693558625.8091714,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,8400
85,0,999.0,0,85,127.30780792236328,104,999,1.267662763595581,0,359.0791015625,999,999.0,190.47000122070312,0,48.25,999,0,85,29.5,0,0,0,7.0,999,1693558627.127586,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,8500
