iteration,fitness,time
986,0.90625,0.13
987,0.90625,0.16
988,0.90625,0.14
989,0.90625,0.15
990,0.90625,0.15
991,0.90625,0.13
992,0.90625,0.14
993,0.90625,0.14
994,0.90625,0.14
995,0.90625,0.14
996,0.90625,0.14
997,0.90625,0.14
998,0.90625,0.14
999,0.90625,0.14
1000,0.90625,0.13
1001,0.90625,0.13
1002,0.90625,0.16
1003,0.90625,0.14
1004,0.90625,0.14
1005,0.90625,0.13
1006,0.90625,0.14
1007,0.90625,0.14
1008,0.90625,0.14
1009,0.90625,0.14
1010,0.90625,0.14
1011,0.90625,0.14
1012,0.90625,0.14
1013,0.90625,0.14
1014,0.90625,0.14
1015,0.90625,0.16
1016,0.90625,0.14
1017,0.90625,0.14
1018,0.90625,0.13
1019,0.90625,0.13
1020,0.90625,0.14
1021,0.90625,0.14
1022,0.90625,0.13
1023,0.90625,0.14
1024,0.90625,0.14
1025,0.90625,0.14
1026,0.90625,0.14
1027,0.90625,0.14
1028,0.90625,0.14
1029,0.90625,0.14
1030,0.90625,0.14
1031,0.90625,0.13
1032,0.90625,0.14
1033,0.90625,0.14
1034,0.90625,0.14
1035,0.90625,0.14
1036,0.90625,0.14
1037,0.90625,0.20
1038,0.90625,0.14
1039,0.90625,0.14
1040,0.90625,0.14
1041,0.90625,0.14
1042,0.90625,0.18
1043,0.90625,0.14
1044,0.90625,0.14
1045,0.90625,0.14
1046,0.90625,0.14
1047,0.90625,0.14
1048,0.90625,0.14
1049,0.90625,0.14
1050,0.90625,0.14
1051,0.90625,0.14
1052,0.90625,0.14
1053,0.90625,0.14
1054,0.90625,0.14
1055,0.90625,0.14
1056,0.90625,0.14
1057,0.90625,0.14
1058,0.90625,0.14
1059,0.90625,0.14
1060,0.90625,0.14
1061,0.90625,0.14
1062,0.90625,0.14
1063,0.90625,0.14
1064,0.90625,0.14
1065,0.90625,0.14
1066,0.90625,0.15
1067,0.90625,0.15
1068,0.90625,0.14
1069,0.90625,0.14
1070,0.90625,0.14
1071,0.90625,0.14
1072,0.90625,0.14
1073,0.90625,0.14
1074,0.90625,0.18
1075,0.90625,0.14
1076,0.90625,0.20
1077,0.90625,0.14
1078,0.90625,0.14
1079,0.90625,0.14
1080,0.90625,0.14
1081,0.90625,0.14
1082,0.90625,0.14
1083,0.90625,0.14
1084,0.90625,0.16
1085,0.90625,0.14
1086,0.90625,0.16
1087,0.90625,0.14
1088,0.90625,0.17
1089,0.90625,0.19
1090,0.90625,0.14
1091,0.90625,0.16
1092,0.90625,0.14
1093,0.90625,0.14
1094,0.90625,0.14
1095,0.90625,0.14
1096,0.90625,0.14
1097,0.90625,0.14
1098,0.90625,0.14
1099,0.90625,0.14
1100,0.90625,0.14
1101,0.90625,0.14
1102,0.90625,0.14
1103,0.90625,0.14
1104,0.90625,0.14
1105,0.90625,0.14
1106,0.90625,0.14
1107,0.90625,0.16
1108,0.90625,0.14
1109,0.90625,0.14
1110,0.90625,0.14
1111,0.90625,0.13
1112,0.90625,0.13
1113,0.90625,0.13
1114,0.90625,0.14
1115,0.90625,0.17
1116,0.90625,0.20
1117,0.90625,0.14
1118,0.90625,0.14
1119,0.90625,0.14
1120,0.90625,0.14
1121,0.90625,0.14
1122,0.90625,0.14
1123,0.90625,0.14
1124,0.90625,0.14
1125,0.90625,0.14
1126,0.90625,0.14
1127,0.90625,0.16
1128,0.90625,0.14
1129,0.90625,0.16
1130,0.90625,0.14
1131,0.90625,0.14
1132,0.90625,0.14
1133,0.90625,0.14
1134,0.90625,0.14
1135,0.90625,0.14
1136,0.90625,0.14
1137,0.90625,0.14
1138,0.90625,0.14
1139,0.90625,0.16
1140,0.90625,0.17
1141,0.90625,0.14
1142,0.90625,0.14
1143,0.90625,0.13
1144,0.90625,0.14
1145,0.90625,0.14
1146,0.90625,0.14
1147,0.90625,0.14
1148,0.90625,0.15
1149,0.90625,0.15
1150,0.90625,0.14
1151,0.90625,0.16
1152,0.90625,0.14
1153,0.90625,0.14
1154,0.90625,0.16
1155,0.90625,0.16
1156,0.90625,0.14
1157,0.90625,0.14
1158,0.90625,0.14
1159,0.90625,0.14
1160,0.90625,0.15
1161,0.90625,0.16
1162,0.90625,0.14
1163,0.90625,0.14
1164,0.90625,0.14
1165,0.90625,0.14
1166,0.90625,0.14
1167,0.90625,0.14
1168,0.90625,0.14
1169,0.90625,0.14
1170,0.90625,0.14
1171,0.90625,0.14
1172,0.90625,0.14
1173,0.90625,0.14
1174,0.90625,0.13
1175,0.90625,0.13
1176,0.90625,0.17
1177,0.90625,0.14
1178,0.90625,0.14
1179,0.90625,0.14
1180,0.90625,0.14
1181,0.90625,0.14
1182,0.90625,0.20
1183,0.90625,0.14
1184,0.90625,0.17
1185,0.90625,0.14
1186,0.90625,0.14
1187,0.90625,0.14
1188,0.90625,0.14
1189,0.90625,0.14
1190,0.90625,0.14
1191,0.90625,0.14
1192,0.90625,0.14
1193,0.90625,0.14
1194,0.90625,0.14
1195,0.90625,0.14
1196,0.90625,0.18
1197,0.90625,0.17
1198,0.90625,0.15
1199,0.90625,0.14
1200,0.90625,0.14
1201,0.90625,0.14
1202,0.90625,0.14
1203,0.90625,0.14
1204,0.90625,0.14
1205,0.90625,0.14
1206,0.90625,0.14
1207,0.90625,0.14
1208,0.90625,0.15
1209,0.90625,0.17
1210,0.90625,0.16
1211,0.90625,0.14
1212,0.90625,0.14
1213,0.90625,0.13
1214,0.90625,0.13
1215,0.90625,0.14
1216,0.90625,0.14
1217,0.90625,0.14
1218,0.90625,0.14
1219,0.90625,0.14
1220,0.90625,0.14
1221,0.90625,0.14
1222,0.90625,0.14
1223,0.90625,0.14
1224,0.90625,0.14
1225,0.90625,0.14
1226,0.90625,0.14
1227,0.90625,0.14
1228,0.90625,0.14
1229,0.90625,0.14
1230,0.90625,0.14
1231,0.90625,0.14
1232,0.90625,0.14
1233,0.90625,0.14
1234,0.90625,0.14
1235,0.90625,0.14
1236,0.90625,0.14
1237,0.90625,0.14
1238,0.90625,0.13
1239,0.90625,0.14
1240,0.90625,0.14
1241,0.90625,0.14
1242,0.90625,0.14
1243,0.90625,0.14
1244,0.90625,0.14
1245,0.90625,0.14
1246,0.90625,0.14
